Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Purpose,Loan_Status
Male,Yes,0,Graduate,No,3084,465,164,360,1,Urban,Home Purchase,Y
Male,No,1,Graduate,No,2878,1276,132,360,1,Semiurban,Debt Consolidation,Y
Male,No,1,Not Graduate,No,4346,3917,119,360,1,Urban,Other,N
Male,Yes,2,Not Graduate,No,1867,1210,266,120,1,Urban,Car,Y
Male,No,0,Graduate,Yes,1226,424,150,240,0,Semiurban,Home Purchase,Y
Female,No,0,Graduate,No,7267,1502,193,240,1,Semiurban,Car,Y
Male,No,0,Not Graduate,No,16989,557,162,360,1,Semiurban,Home Purchase,Y
Female,Yes,0,Not Graduate,No,4981,2424,193,180,1,Rural,Education,Y
Male,Yes,0,Graduate,No,563,393,61,300,1,Rural,Home Purchase,N
Female,Yes,2,Graduate,No,13483,3237,109,300,0,Urban,Home Purchase,N
Male,Yes,0,Graduate,No,5811,2145,110,360,1,Semiurban,Debt Consolidation,Y
Male,Yes,2,Graduate,No,175,3621,141,360,1,Semiurban,Education,N
Female,No,0,Not Graduate,No,85,1538,209,300,0,Rural,Business,Y
Male,Yes,0,Graduate,No,20473,5896,150,360,1,Urban,Home Purchase,Y
Female,Yes,2,Not Graduate,No,1544,3407,148,300,1,Semiurban,Home Renovation,Y
Male,Yes,1,Graduate,No,4503,3251,117,360,0,Semiurban,Home Purchase,Y
Female,No,2,Graduate,No,5464,1728,130,240,1,Rural,Business,Y
Male,Yes,1,Not Graduate,No,3953,1623,179,360,0,Rural,Medical,Y
Male,Yes,1,Graduate,Yes,8597,25,219,300,1,Rural,Business,Y
Female,Yes,1,Graduate,Yes,9954,1664,130,300,0,Semiurban,Car,Y
Male,Yes,2,Graduate,No,9490,1066,216,300,1,Urban,Home Purchase,Y
Male,Yes,2,Not Graduate,No,1847,1556,156,300,1,Rural,Business,Y
Male,Yes,0,Not Graduate,No,2221,776,194,360,1,Rural,Home Purchase,Y
Female,No,3+,Graduate,No,3832,7721,141,300,1,Semiurban,Wedding,Y
Male,Yes,3+,Graduate,No,36695,3801,52,360,1,Rural,Business,Y
Male,Yes,1,Graduate,Yes,16826,1016,146,240,1,Urban,Home Renovation,Y
Male,Yes,0,Graduate,Yes,4335,2009,116,240,1,Urban,Other,Y
Male,Yes,1,Not Graduate,No,3217,186,213,240,1,Urban,Debt Consolidation,Y
Female,No,1,Graduate,No,1551,3336,100,180,1,Urban,Car,N
Female,Yes,0,Not Graduate,No,1341,2130,78,300,1,Rural,Debt Consolidation,Y
Male,Yes,3+,Graduate,No,4532,1398,132,360,1,Semiurban,Debt Consolidation,Y
Male,Yes,1,Graduate,No,5736,580,106,180,1,Semiurban,Education,Y
Male,No,2,Graduate,No,703,5844,78,120,1,Urban,Business,Y
Female,Yes,3+,Graduate,No,1810,1151,25,240,1,Semiurban,Home Purchase,Y
Male,No,0,Graduate,No,6581,6749,147,180,1,Rural,Debt Consolidation,Y
Male,No,0,Graduate,No,2948,1629,142,300,1,Semiurban,Debt Consolidation,Y
Male,No,1,Not Graduate,No,1611,314,45,360,1,Rural,Home Renovation,Y
Female,No,1,Graduate,No,2448,469,169,300,1,Rural,Other,Y
Male,Yes,1,Graduate,No,8988,511,193,300,1,Urban,Education,Y
Male,Yes,1,Graduate,No,1818,2033,179,360,1,Rural,Education,Y
Male,Yes,2,Graduate,No,537,240,204,120,1,Semiurban,Home Renovation,Y
Male,Yes,0,Graduate,No,5964,2388,211,360,1,Rural,Home Purchase,Y
Male,Yes,2,Graduate,Yes,4358,229,218,360,1,Semiurban,Wedding,Y
Male,Yes,0,Graduate,No,2646,1930,186,360,0,Urban,Car,Y
Male,No,3+,Graduate,No,5436,723,192,300,1,Urban,Education,Y
Female,Yes,2,Graduate,No,558,1166,89,360,0,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,5328,3291,132,300,1,Semiurban,Education,Y
Male,Yes,0,Graduate,No,1184,1609,114,360,1,Semiurban,Debt Consolidation,Y
Female,Yes,2,Graduate,No,550,576,201,180,1,Semiurban,Home Purchase,Y
Female,Yes,3+,Not Graduate,No,8462,1248,144,360,1,Urban,Business,Y
Male,No,0,Graduate,No,2608,6145,137,120,1,Semiurban,Car,Y
Female,Yes,2,Not Graduate,No,3649,71,137,360,1,Semiurban,Debt Consolidation,Y
Female,No,0,Graduate,No,12015,4154,77,240,1,Semiurban,Business,Y
Male,Yes,0,Graduate,No,3449,2239,100,300,1,Urban,Debt Consolidation,Y
Female,No,0,Graduate,No,195,4032,140,360,0,Urban,Debt Consolidation,Y
Male,No,0,Not Graduate,No,4230,769,169,240,1,Urban,Car,Y
Female,Yes,0,Not Graduate,No,2049,813,169,360,1,Semiurban,Home Purchase,Y
Female,Yes,0,Graduate,No,12373,762,151,360,1,Urban,Other,Y
Female,Yes,1,Not Graduate,No,154,269,176,360,1,Rural,Medical,Y
Female,Yes,2,Graduate,No,6046,6943,130,180,1,Rural,Home Purchase,Y
Male,Yes,0,Graduate,No,3649,4793,153,360,0,Urban,Home Renovation,N
Female,No,1,Not Graduate,No,377,1809,109,360,1,Urban,Home Renovation,Y
Female,Yes,1,Graduate,No,6668,3883,209,300,1,Semiurban,Home Purchase,Y
Male,No,1,Not Graduate,No,3213,292,84,180,1,Semiurban,Other,Y
Male,Yes,1,Not Graduate,No,2970,2168,126,180,0,Urban,Home Purchase,Y
Male,No,0,Not Graduate,No,4346,5391,135,180,1,Rural,Home Renovation,Y
Male,Yes,1,Not Graduate,No,627,1659,151,360,1,Urban,Other,Y
Male,Yes,0,Graduate,No,2553,223,166,240,1,Urban,Home Renovation,Y
Male,No,3+,Graduate,No,926,1555,168,360,1,Semiurban,Wedding,Y
Male,Yes,2,Graduate,Yes,2940,333,201,360,1,Urban,Wedding,Y
Female,No,1,Graduate,No,1457,7384,195,180,1,Semiurban,Business,Y
Female,No,2,Graduate,No,8328,6246,180,300,1,Semiurban,Home Renovation,Y
Male,Yes,2,Graduate,No,808,1943,114,300,0,Urban,Car,Y
Male,No,0,Graduate,Yes,776,1977,205,240,1,Rural,Business,Y
Female,No,2,Graduate,No,1913,106,254,360,1,Urban,Car,Y
Female,Yes,0,Graduate,No,8983,827,194,300,1,Rural,Education,Y
Female,Yes,0,Graduate,No,6502,271,146,120,1,Rural,Education,Y
Male,Yes,0,Graduate,No,3662,5502,184,300,1,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,5746,2028,106,300,1,Urban,Home Purchase,Y
Female,Yes,0,Graduate,Yes,3152,862,160,300,1,Semiurban,Home Renovation,N
Male,Yes,1,Graduate,No,1066,1115,148,360,1,Semiurban,Business,Y
Male,Yes,1,Graduate,Yes,5146,5052,177,180,1,Urban,Business,Y
Male,Yes,0,Graduate,No,7586,180,174,180,1,Semiurban,Business,Y
Male,Yes,1,Not Graduate,No,2130,3566,52,300,1,Semiurban,Car,N
Male,Yes,1,Graduate,Yes,3515,1224,144,240,1,Semiurban,Business,Y
Female,No,1,Graduate,No,2317,358,74,300,1,Rural,Debt Consolidation,Y
Male,Yes,3+,Graduate,No,5595,2094,195,300,1,Urban,Car,Y
Male,No,3+,Graduate,No,314,2085,171,180,1,Rural,Home Purchase,Y
Male,No,3+,Graduate,No,15300,3878,88,360,1,Rural,Education,Y
Male,Yes,2,Graduate,No,2811,1698,95,360,1,Urban,Home Renovation,Y
Male,Yes,2,Graduate,Yes,7650,3055,109,360,1,Rural,Car,Y
Male,Yes,3+,Not Graduate,No,70,722,89,180,0,Urban,Debt Consolidation,Y
Female,Yes,1,Not Graduate,No,2038,368,180,300,1,Semiurban,Wedding,Y
Female,Yes,1,Graduate,No,3989,2178,108,120,1,Rural,Home Purchase,Y
Female,Yes,0,Graduate,Yes,6659,1191,184,300,1,Urban,Education,Y
Male,Yes,0,Graduate,No,2951,1469,127,360,1,Urban,Home Purchase,N
Male,Yes,1,Not Graduate,No,4335,59,128,360,1,Urban,Home Renovation,Y
Male,No,0,Not Graduate,No,3807,1095,115,180,1,Semiurban,Other,Y
Female,Yes,2,Not Graduate,No,2631,5171,165,180,1,Urban,Home Purchase,Y
Male,No,3+,Graduate,No,289,7,133,360,0,Semiurban,Car,Y
Male,No,1,Not Graduate,No,522,609,93,360,1,Semiurban,Education,Y
Male,Yes,2,Graduate,Yes,1270,1835,71,300,1,Urban,Debt Consolidation,Y
Male,Yes,3+,Graduate,No,9280,376,147,360,0,Urban,Home Purchase,Y
Male,Yes,0,Not Graduate,No,257,1131,240,360,0,Rural,Home Renovation,Y
Female,Yes,2,Graduate,Yes,9988,3193,79,300,1,Semiurban,Home Purchase,Y
Female,Yes,0,Graduate,No,6967,710,70,360,1,Semiurban,Business,Y
Female,No,2,Graduate,No,16358,627,218,360,1,Rural,Home Purchase,Y
Male,Yes,2,Not Graduate,No,6329,9343,175,240,1,Semiurban,Medical,Y
Female,No,0,Graduate,No,16062,5361,34,480,1,Semiurban,Wedding,Y
Male,Yes,1,Graduate,No,4673,2556,119,240,1,Urban,Home Purchase,Y
Female,Yes,1,Graduate,No,2771,108,212,240,1,Urban,Education,Y
Female,Yes,2,Graduate,No,891,156,218,120,1,Rural,Home Purchase,Y
Male,Yes,0,Graduate,No,23170,1745,219,360,0,Urban,Education,Y
Male,Yes,2,Not Graduate,No,461,6558,116,120,0,Semiurban,Car,Y
Male,No,0,Graduate,No,3320,1654,137,360,1,Semiurban,Business,Y
Male,No,0,Not Graduate,No,7446,4051,205,300,1,Rural,Home Purchase,Y
Female,No,0,Graduate,No,1794,1072,131,360,1,Semiurban,Wedding,Y
Female,No,0,Graduate,Yes,1853,1733,184,180,1,Rural,Debt Consolidation,Y
Female,Yes,0,Graduate,No,8387,1725,171,480,1,Urban,Medical,Y
Female,Yes,1,Graduate,No,13253,5544,244,360,1,Urban,Medical,Y
Female,Yes,0,Graduate,No,9008,2862,178,300,1,Rural,Home Purchase,Y
Female,Yes,0,Not Graduate,No,6491,20,91,300,1,Rural,Debt Consolidation,Y
Male,Yes,2,Graduate,No,2300,2262,30,180,1,Semiurban,Other,Y
Male,Yes,1,Graduate,Yes,1521,3828,154,300,1,Rural,Home Renovation,Y
Female,No,0,Graduate,No,1933,1406,172,120,1,Urban,Wedding,Y
Female,Yes,1,Graduate,No,5972,823,160,300,1,Semiurban,Home Purchase,Y
Male,No,2,Graduate,No,2865,3770,149,360,1,Semiurban,Debt Consolidation,N
Female,Yes,3+,Not Graduate,No,10883,913,82,360,1,Semiurban,Home Purchase,Y
Male,Yes,0,Not Graduate,No,1396,677,153,360,1,Semiurban,Education,Y
Male,No,1,Not Graduate,No,9317,5437,229,300,1,Urban,Home Renovation,Y
Female,Yes,1,Graduate,No,960,671,152,360,1,Urban,Debt Consolidation,Y
Male,Yes,0,Graduate,No,3455,174,221,240,1,Urban,Education,Y
Male,Yes,1,Not Graduate,No,6044,181,114,180,1,Urban,Education,Y
Female,No,0,Graduate,No,9213,243,190,240,1,Urban,Home Purchase,Y
Male,No,1,Graduate,No,8992,2728,247,300,0,Semiurban,Home Purchase,Y
Male,Yes,1,Graduate,No,283,1056,161,360,1,Semiurban,Car,Y
Male,Yes,2,Graduate,No,2284,1358,103,360,0,Rural,Education,Y
Male,Yes,3+,Graduate,No,3303,1604,206,360,1,Urban,Home Renovation,Y
Male,Yes,2,Not Graduate,No,11391,270,48,360,1,Urban,Other,N
Male,Yes,2,Graduate,No,1978,1364,154,360,0,Urban,Debt Consolidation,Y
Male,Yes,2,Graduate,No,3307,708,184,300,1,Semiurban,Home Renovation,N
Female,No,1,Graduate,No,142,1123,137,480,1,Semiurban,Debt Consolidation,N
Male,Yes,1,Graduate,No,8730,1272,274,360,1,Semiurban,Wedding,Y
Male,No,0,Graduate,Yes,1126,1554,185,300,1,Rural,Education,Y
Male,No,2,Graduate,Yes,5162,338,153,360,1,Urban,Home Purchase,N
Female,Yes,2,Graduate,No,446,1234,227,120,1,Rural,Home Purchase,Y
Male,Yes,2,Not Graduate,Yes,2749,157,152,360,1,Urban,Home Purchase,N
Male,Yes,0,Graduate,No,1245,3814,122,180,1,Rural,Business,Y
Female,Yes,0,Graduate,No,19918,1111,215,300,1,Urban,Business,Y
Female,Yes,2,Graduate,Yes,5644,3102,152,480,1,Semiurban,Home Renovation,Y
Female,No,0,Graduate,No,99,2235,115,360,1,Semiurban,Education,Y
Male,Yes,0,Graduate,No,3433,2474,154,360,1,Urban,Debt Consolidation,Y
Male,No,3+,Graduate,Yes,4287,79,169,300,1,Rural,Business,Y
Male,No,2,Graduate,No,3160,931,125,120,1,Semiurban,Wedding,Y
Female,Yes,0,Graduate,No,5641,414,274,300,1,Urban,Home Purchase,Y
Male,Yes,2,Graduate,No,12102,1042,121,180,0,Urban,Home Renovation,Y
Male,No,3+,Graduate,No,1370,597,172,360,1,Urban,Wedding,Y
Male,Yes,1,Graduate,No,22120,275,166,360,1,Urban,Business,Y
Female,No,3+,Graduate,No,2960,525,215,300,1,Semiurban,Home Renovation,Y
Male,No,2,Graduate,No,2738,441,124,300,0,Semiurban,Car,Y
Female,Yes,1,Graduate,No,352,5943,161,300,1,Rural,Business,Y
Male,Yes,3+,Graduate,No,3853,845,200,360,1,Rural,Debt Consolidation,N
Female,Yes,3+,Graduate,No,4588,532,216,300,1,Urban,Home Purchase,N
Male,Yes,1,Graduate,No,80,161,196,240,1,Semiurban,Business,Y
Male,No,2,Graduate,No,4773,1485,151,300,1,Urban,Medical,Y
Male,No,1,Graduate,No,2020,4727,142,240,1,Semiurban,Education,Y
Female,Yes,1,Graduate,Yes,1949,4933,136,360,1,Semiurban,Business,Y
Female,Yes,1,Graduate,No,12163,795,119,240,1,Semiurban,Education,Y
Male,No,0,Graduate,No,6351,209,197,360,1,Urban,Home Purchase,Y
Female,No,0,Graduate,No,1685,3297,208,360,1,Semiurban,Debt Consolidation,Y
Male,Yes,3+,Graduate,Yes,17011,382,146,120,1,Rural,Car,Y
Female,No,2,Graduate,No,10576,96,156,360,1,Semiurban,Medical,Y
Female,Yes,0,Graduate,No,1661,150,128,240,1,Urban,Education,Y
Male,Yes,2,Graduate,No,3249,635,86,300,1,Urban,Business,Y
Male,No,0,Not Graduate,No,11080,375,219,240,1,Rural,Home Renovation,N
Male,Yes,0,Graduate,No,2717,4845,160,360,1,Semiurban,Debt Consolidation,N
Female,Yes,1,Graduate,No,1718,7971,172,360,1,Urban,Debt Consolidation,Y
Male,No,1,Graduate,No,2923,722,78,360,1,Rural,Debt Consolidation,Y
Female,Yes,3+,Not Graduate,No,270,2991,131,360,1,Urban,Car,Y
Female,Yes,0,Graduate,No,3014,5418,144,360,1,Urban,Medical,Y
Female,Yes,2,Graduate,Yes,1140,256,172,360,1,Semiurban,Education,Y
Female,No,1,Graduate,No,4994,3032,106,300,1,Urban,Home Renovation,Y
Male,Yes,1,Graduate,Yes,2895,1257,186,360,1,Semiurban,Wedding,Y
Male,No,0,Not Graduate,No,15209,1145,104,300,0,Rural,Other,Y
Female,No,0,Graduate,No,1608,2812,235,360,1,Urban,Car,Y
Female,Yes,1,Graduate,No,363,1296,215,240,1,Semiurban,Business,Y
Male,Yes,2,Not Graduate,Yes,1402,74,77,360,1,Urban,Home Renovation,Y
Male,Yes,2,Graduate,Yes,3755,1232,167,360,1,Urban,Home Purchase,Y
Male,No,1,Graduate,No,4793,336,158,480,1,Rural,Debt Consolidation,Y
Male,Yes,1,Graduate,No,1559,4262,120,480,1,Rural,Debt Consolidation,N
Female,Yes,1,Graduate,No,1226,42,180,360,1,Urban,Education,Y
Male,Yes,2,Not Graduate,No,8321,568,38,240,1,Urban,Home Purchase,N
Male,No,2,Graduate,No,1183,1398,148,360,1,Urban,Education,Y
Female,No,0,Graduate,No,1422,4132,95,360,0,Semiurban,Business,Y
Male,No,0,Not Graduate,No,2854,909,155,300,0,Urban,Education,Y
Male,No,0,Graduate,No,2828,5014,113,360,1,Semiurban,Home Renovation,N
Female,Yes,0,Not Graduate,No,2137,6935,151,300,1,Semiurban,Home Purchase,Y
Male,Yes,0,Graduate,No,1349,430,206,360,1,Semiurban,Car,Y
Male,Yes,2,Graduate,No,9780,772,83,240,0,Urban,Business,Y
Male,Yes,0,Not Graduate,No,8093,598,111,120,0,Urban,Business,Y
Male,Yes,3+,Graduate,No,1363,11520,211,360,1,Urban,Education,N
Male,Yes,0,Graduate,No,6372,1203,156,360,1,Urban,Education,N
Male,Yes,1,Graduate,Yes,1275,6011,102,120,1,Urban,Medical,Y
Female,Yes,0,Graduate,Yes,4591,5135,109,480,1,Urban,Home Purchase,Y
Male,No,3+,Graduate,No,88,178,186,360,0,Urban,Home Renovation,N
Male,Yes,3+,Graduate,No,491,258,50,360,0,Rural,Education,Y
Male,Yes,0,Graduate,Yes,3526,148,239,360,1,Semiurban,Other,Y
Female,No,1,Graduate,No,7300,2597,105,180,1,Urban,Home Purchase,Y
Female,No,3+,Not Graduate,No,462,3215,149,240,1,Rural,Car,N
Male,Yes,2,Graduate,No,934,3546,233,240,0,Rural,Car,N
Female,No,3+,Graduate,No,1511,56,151,360,1,Semiurban,Other,Y
Male,Yes,1,Graduate,No,341,969,176,300,1,Urban,Home Purchase,Y
Female,No,1,Graduate,No,3074,2212,120,360,1,Rural,Car,Y
Male,No,3+,Not Graduate,No,2367,5907,236,480,0,Urban,Debt Consolidation,Y
Female,No,1,Graduate,No,2228,2907,121,180,1,Semiurban,Other,Y
Male,No,1,Graduate,No,2988,1813,121,360,1,Semiurban,Home Purchase,N
Male,Yes,1,Graduate,No,2971,2928,104,180,1,Urban,Home Purchase,Y
Female,No,0,Graduate,No,690,5272,247,360,0,Semiurban,Education,Y
Male,Yes,1,Graduate,No,4322,2744,193,360,1,Urban,Education,Y
Male,Yes,1,Graduate,No,1986,1700,150,300,1,Semiurban,Home Purchase,Y
Male,Yes,2,Graduate,No,9173,1770,106,360,1,Semiurban,Business,N
Female,Yes,0,Graduate,No,2734,214,165,300,1,Rural,Business,N
Male,Yes,0,Graduate,Yes,904,3256,205,360,1,Urban,Debt Consolidation,Y
Male,Yes,1,Not Graduate,No,4948,702,136,360,0,Rural,Home Purchase,Y
Male,Yes,0,Not Graduate,No,12315,3996,135,360,1,Semiurban,Medical,N
Male,Yes,0,Graduate,No,8565,3270,206,360,0,Urban,Car,Y
Male,Yes,0,Graduate,No,2089,2881,86,180,0,Semiurban,Home Renovation,Y
Male,Yes,2,Not Graduate,No,18425,120,212,480,1,Rural,Education,Y
Female,Yes,3+,Not Graduate,No,5648,4267,66,360,0,Semiurban,Wedding,Y
Male,No,0,Not Graduate,No,2941,1145,83,300,1,Semiurban,Wedding,N
Male,Yes,0,Graduate,No,7180,658,195,300,1,Rural,Debt Consolidation,Y
Male,Yes,0,Graduate,No,721,4261,222,240,1,Semiurban,Car,Y
Male,Yes,2,Graduate,No,5771,763,95,360,1,Urban,Business,Y
Female,Yes,0,Graduate,No,2194,249,174,360,1,Urban,Other,Y
Female,Yes,1,Not Graduate,No,4171,463,131,360,1,Urban,Education,Y
Female,Yes,0,Not Graduate,No,2100,433,144,300,1,Semiurban,Medical,Y
Female,Yes,1,Graduate,No,252,1397,269,480,1,Urban,Medical,Y
Female,Yes,0,Graduate,No,1427,1114,37,360,1,Rural,Debt Consolidation,Y
Male,Yes,0,Not Graduate,No,4535,623,157,300,0,Semiurban,Home Renovation,Y
Male,No,3+,Graduate,No,4296,341,188,360,1,Urban,Home Purchase,Y
Female,Yes,3+,Not Graduate,No,1187,1599,198,300,1,Rural,Business,N
Male,Yes,1,Graduate,No,2376,1135,211,360,0,Urban,Home Purchase,Y
Male,Yes,0,Graduate,No,6460,1642,156,360,1,Semiurban,Business,Y
Female,Yes,0,Graduate,No,4554,989,168,480,1,Urban,Home Renovation,Y
Female,Yes,0,Not Graduate,No,561,6734,136,300,1,Urban,Home Purchase,Y
Female,Yes,0,Graduate,No,5701,4282,89,360,1,Rural,Home Purchase,Y
Female,Yes,0,Graduate,Yes,4374,2364,104,240,1,Urban,Debt Consolidation,Y
Male,Yes,0,Not Graduate,Yes,6767,185,206,240,1,Rural,Home Renovation,Y
Male,Yes,0,Graduate,No,2180,974,155,300,1,Semiurban,Home Renovation,Y
Male,No,0,Graduate,No,13758,348,140,360,1,Rural,Business,Y
Male,Yes,1,Graduate,Yes,1905,624,174,180,0,Semiurban,Business,Y
Female,Yes,1,Graduate,Yes,2813,583,119,300,0,Rural,Home Purchase,Y
Female,Yes,0,Graduate,No,12331,2508,191,360,1,Urban,Home Renovation,Y
Male,No,0,Not Graduate,No,1505,813,108,360,1,Semiurban,Debt Consolidation,N
Female,Yes,2,Graduate,No,1234,263,138,360,1,Rural,Education,Y
Male,Yes,0,Not Graduate,No,1605,491,108,180,1,Urban,Home Purchase,N
Female,Yes,1,Not Graduate,No,17850,3697,88,300,0,Semiurban,Business,Y
Female,Yes,0,Graduate,No,22166,3507,304,300,1,Semiurban,Business,Y
Female,Yes,0,Not Graduate,No,7834,443,138,300,1,Urban,Home Purchase,Y
Male,Yes,1,Graduate,No,391,180,186,300,1,Semiurban,Home Renovation,Y
Female,No,3+,Graduate,No,2835,963,151,300,0,Urban,Medical,Y
Male,No,0,Graduate,No,9538,4780,108,300,1,Rural,Home Renovation,Y
Male,Yes,0,Graduate,No,3525,113,231,360,1,Urban,Home Renovation,Y
Female,Yes,0,Graduate,No,5224,1230,146,240,1,Semiurban,Education,Y
Male,Yes,0,Graduate,No,13194,424,105,360,1,Urban,Debt Consolidation,Y
Male,Yes,1,Graduate,No,2858,3838,132,360,1,Rural,Home Purchase,Y
Male,No,1,Graduate,No,1806,1421,121,240,1,Rural,Home Purchase,Y
Male,Yes,0,Not Graduate,No,5751,2260,146,360,1,Urban,Debt Consolidation,Y
Female,Yes,1,Graduate,No,762,1116,168,480,1,Semiurban,Home Renovation,Y
Male,Yes,1,Not Graduate,No,453,374,97,180,1,Rural,Business,Y
Female,Yes,2,Graduate,No,4366,297,131,360,1,Semiurban,Car,Y
Female,No,2,Graduate,Yes,1779,117,266,300,1,Urban,Education,N
Female,Yes,3+,Graduate,No,26931,1460,115,360,1,Semiurban,Home Purchase,Y
Male,Yes,1,Graduate,No,5608,2273,142,240,1,Semiurban,Education,Y
Male,No,1,Graduate,No,1746,1693,150,300,1,Semiurban,Home Purchase,N
Male,Yes,1,Graduate,No,280,7358,184,360,1,Urban,Business,Y
Female,Yes,1,Graduate,No,7611,4865,132,180,1,Rural,Education,Y
Female,Yes,0,Graduate,No,5493,350,188,360,1,Urban,Education,Y
Male,No,1,Graduate,No,3289,9042,164,180,1,Semiurban,Home Purchase,N
Male,Yes,2,Graduate,No,2258,705,119,360,0,Semiurban,Home Purchase,Y
Female,No,0,Graduate,No,2231,2764,202,360,1,Semiurban,Business,Y
Male,Yes,3+,Graduate,No,5652,351,121,300,1,Semiurban,Education,Y
Male,Yes,0,Not Graduate,Yes,6074,806,63,300,1,Semiurban,Home Purchase,Y
Female,Yes,0,Graduate,No,1003,1971,107,360,1,Rural,Other,Y
Male,No,0,Graduate,Yes,15955,1721,191,120,0,Semiurban,Debt Consolidation,Y
Male,Yes,0,Graduate,Yes,5014,239,97,300,1,Urban,Car,Y
Male,Yes,0,Graduate,No,3040,5575,39,180,1,Urban,Debt Consolidation,Y
Male,No,0,Not Graduate,Yes,1408,1911,55,360,1,Semiurban,Home Renovation,Y
Female,Yes,2,Not Graduate,No,715,4638,226,360,1,Urban,Home Purchase,Y
Male,Yes,1,Graduate,Yes,12139,866,243,360,1,Semiurban,Debt Consolidation,Y
Female,No,2,Not Graduate,No,329,3692,169,240,1,Rural,Home Renovation,Y
Female,Yes,0,Graduate,Yes,5554,2888,224,360,1,Semiurban,Home Purchase,Y
Male,Yes,3+,Graduate,No,16947,5756,145,360,1,Rural,Medical,Y
Male,No,0,Graduate,No,11074,1539,160,300,1,Urban,Home Renovation,Y
Male,No,1,Not Graduate,No,4871,892,134,360,1,Semiurban,Home Renovation,Y
Male,Yes,0,Not Graduate,No,8465,1432,91,180,1,Rural,Car,Y
Male,Yes,2,Not Graduate,Yes,430,6021,75,300,0,Urban,Education,Y
Male,No,0,Not Graduate,Yes,2929,755,154,360,0,Rural,Home Renovation,N
Female,No,2,Graduate,No,1895,270,133,360,1,Rural,Home Renovation,Y
Female,Yes,0,Graduate,No,1803,1951,251,120,1,Urban,Home Purchase,N
Female,Yes,1,Graduate,No,356,1932,184,360,0,Semiurban,Other,Y
